Datetime,Temperature
2024-02-14 20:11:01,109.0
2024-02-14 20:11:02,110.0
2024-02-14 20:11:03,112.0
2024-02-14 20:11:04,113.0
2024-02-14 20:11:05,114.0
2024-02-14 20:11:06,116.0
2024-02-14 20:11:07,118.0
2024-02-14 20:11:08,119.0
2024-02-14 20:11:09,120.0
2024-02-14 20:11:10,122.0
2024-02-14 20:11:11,123.0
2024-02-14 20:11:12,125.0
2024-02-14 20:11:13,127.0
2024-02-14 20:11:14,128.0
2024-02-14 20:11:15,129.0
2024-02-14 20:11:16,131.0
2024-02-14 20:11:17,132.0
2024-02-14 20:11:18,133.0
2024-02-14 20:11:19,135.0
2024-02-14 20:11:20,136.0
2024-02-14 20:11:21,138.0
2024-02-14 20:11:22,139.0
2024-02-14 20:11:23,140.0
2024-02-14 20:11:24,141.0
2024-02-14 20:11:25,142.0
2024-02-14 20:11:26,144.0
2024-02-14 20:11:26,144.0
2024-02-14 20:11:27,146.0
2024-02-14 20:11:28,148.0
2024-02-14 20:11:29,149.0
2024-02-14 20:11:30,150.0
2024-02-14 20:11:31,150.0
2024-02-14 20:11:32,149.0
2024-02-14 20:11:33,149.0
2024-02-14 20:11:34,148.0
2024-02-14 20:11:35,148.0
2024-02-14 20:11:36,148.0
2024-02-14 20:11:37,147.0
2024-02-14 20:11:38,147.0
2024-02-14 20:11:39,146.0
2024-02-14 20:11:40,146.0
2024-02-14 20:11:41,146.0
2024-02-14 20:11:42,145.0
2024-02-14 20:11:43,145.0
2024-02-14 20:11:44,145.0
2024-02-14 20:11:45,145.0
2024-02-14 20:11:46,145.0
2024-02-14 20:11:47,145.0
2024-02-14 20:11:48,145.0
2024-02-14 20:11:49,145.0
2024-02-14 20:11:50,145.0
2024-02-14 20:11:51,145.0
2024-02-14 20:11:52,145.0
2024-02-14 20:11:53,145.0
2024-02-14 20:11:54,145.0
2024-02-14 20:11:55,145.0
2024-02-14 20:11:56,145.0
2024-02-14 20:11:57,145.0
2024-02-14 20:11:58,146.0
2024-02-14 20:11:59,146.0
2024-02-14 20:12:00,146.0
2024-02-14 20:12:01,147.0
2024-02-14 20:12:02,147.0
2024-02-14 20:12:03,147.0
2024-02-14 20:12:04,147.0
2024-02-14 20:12:05,148.0
2024-02-14 20:12:06,148.0
2024-02-14 20:12:07,148.0
2024-02-14 20:12:08,148.0
2024-02-14 20:12:09,148.0
2024-02-14 20:12:10,148.0
2024-02-14 20:12:11,148.0
2024-02-14 20:12:12,148.0
2024-02-14 20:12:13,147.0
2024-02-14 20:12:14,147.0
2024-02-14 20:12:15,147.0
2024-02-14 20:12:16,147.0
2024-02-14 20:12:17,147.0
2024-02-14 20:12:18,147.0
2024-02-14 20:12:19,147.0
2024-02-14 20:12:20,147.0
2024-02-14 20:12:21,147.0
2024-02-14 20:12:22,147.0
2024-02-14 20:12:23,147.0
2024-02-14 20:12:24,147.0
2024-02-14 20:12:25,147.0
2024-02-14 20:12:26,147.0
2024-02-14 20:12:27,147.0
2024-02-14 20:12:28,147.0
2024-02-14 20:12:29,147.0
2024-02-14 20:12:30,147.0
2024-02-14 20:12:31,147.0
2024-02-14 20:12:32,147.0
2024-02-14 20:12:33,147.0
2024-02-14 20:12:34,147.0
2024-02-14 20:12:35,147.0
2024-02-14 20:12:36,147.0
2024-02-14 20:12:37,147.0
2024-02-14 20:12:38,147.0
2024-02-14 20:12:39,147.0
2024-02-14 20:12:40,148.0
2024-02-14 20:12:41,148.0
2024-02-14 20:12:42,148.0
2024-02-14 20:12:43,148.0
2024-02-14 20:12:44,148.0
2024-02-14 20:12:45,148.0
2024-02-14 20:12:46,148.0
2024-02-14 20:12:47,148.0
2024-02-14 20:12:48,148.0
2024-02-14 20:12:49,148.0
2024-02-14 20:12:50,148.0
2024-02-14 20:12:51,148.0
2024-02-14 20:12:52,148.0
2024-02-14 20:12:53,148.0
2024-02-14 20:12:54,148.0
2024-02-14 20:12:55,149.0
2024-02-14 20:12:56,149.0
2024-02-14 20:12:56,149.0
2024-02-14 20:12:57,148.0
2024-02-14 20:12:58,148.0
2024-02-14 20:12:59,148.0
2024-02-14 20:13:00,149.0
2024-02-14 20:13:01,149.0
2024-02-14 20:13:02,150.0
2024-02-14 20:13:03,151.0
2024-02-14 20:13:04,152.0
2024-02-14 20:13:05,152.0
2024-02-14 20:13:06,153.0
2024-02-14 20:13:07,153.0
2024-02-14 20:13:08,154.0
2024-02-14 20:13:09,155.0
2024-02-14 20:13:10,155.0
2024-02-14 20:13:11,156.0
2024-02-14 20:13:12,157.0
2024-02-14 20:13:13,158.0
2024-02-14 20:13:14,159.0
2024-02-14 20:13:15,160.0
2024-02-14 20:13:16,160.0
2024-02-14 20:13:17,161.0
2024-02-14 20:13:18,162.0
2024-02-14 20:13:19,163.0
2024-02-14 20:13:20,164.0
2024-02-14 20:13:21,165.0
2024-02-14 20:13:22,166.0
2024-02-14 20:13:23,167.0
2024-02-14 20:13:24,168.0
2024-02-14 20:13:25,169.0
2024-02-14 20:13:26,170.0
2024-02-14 20:13:27,171.0
2024-02-14 20:13:28,172.0
2024-02-14 20:13:29,173.0
2024-02-14 20:13:30,174.0
2024-02-14 20:13:31,175.0
2024-02-14 20:13:32,176.0
2024-02-14 20:13:33,177.0
2024-02-14 20:13:34,178.0
2024-02-14 20:13:35,180.0
