Datetime,Temperature
2024-02-15 13:29:42,21.0
2024-02-15 13:29:43,21.0
2024-02-15 13:29:44,21.0
2024-02-15 13:29:45,21.0
2024-02-15 13:29:46,21.0
2024-02-15 13:29:47,22.0
2024-02-15 13:29:48,21.0
2024-02-15 13:29:49,21.0
2024-02-15 13:29:50,21.0
2024-02-15 13:29:51,21.0
2024-02-15 13:29:52,22.0
2024-02-15 13:29:53,22.0
2024-02-15 13:29:54,21.0
2024-02-15 13:29:55,22.0
2024-02-15 13:29:56,21.0
2024-02-15 13:29:57,22.0
2024-02-15 13:29:58,22.0
2024-02-15 13:29:59,22.0
2024-02-15 13:30:00,22.0
2024-02-15 13:30:01,21.0
2024-02-15 13:30:02,21.0
2024-02-15 13:30:03,22.0
2024-02-15 13:30:04,22.0
2024-02-15 13:30:05,21.0
2024-02-15 13:30:06,22.0
2024-02-15 13:30:07,21.0
2024-02-15 13:30:08,21.0
2024-02-15 13:30:09,21.0
2024-02-15 13:30:10,22.0
2024-02-15 13:30:11,21.0
2024-02-15 13:30:12,22.0
2024-02-15 13:30:13,22.0
2024-02-15 13:30:14,22.0
2024-02-15 13:30:15,22.0
2024-02-15 13:30:16,21.0
2024-02-15 13:30:17,22.0
2024-02-15 13:30:18,22.0
2024-02-15 13:30:19,23.0
2024-02-15 13:30:20,24.0
2024-02-15 13:30:21,26.0
2024-02-15 13:30:22,28.0
2024-02-15 13:30:23,29.0
2024-02-15 13:30:24,30.0
2024-02-15 13:30:25,32.0
2024-02-15 13:30:26,33.0
2024-02-15 13:30:27,35.0
2024-02-15 13:30:28,36.0
2024-02-15 13:30:29,37.0
2024-02-15 13:30:30,39.0
2024-02-15 13:30:30,39.0
2024-02-15 13:30:31,39.0
2024-02-15 13:30:32,40.0
2024-02-15 13:30:33,41.0
2024-02-15 13:30:34,43.0
2024-02-15 13:30:35,45.0
2024-02-15 13:30:36,47.0
2024-02-15 13:30:37,49.0
2024-02-15 13:30:38,50.0
2024-02-15 13:30:39,52.0
2024-02-15 13:30:40,54.0
2024-02-15 13:30:41,55.0
2024-02-15 13:30:42,57.0
2024-02-15 13:30:43,58.0
2024-02-15 13:30:44,60.0
2024-02-15 13:30:45,61.0
2024-02-15 13:30:46,63.0
2024-02-15 13:30:47,64.0
2024-02-15 13:30:48,65.0
2024-02-15 13:30:49,66.0
2024-02-15 13:30:50,67.0
2024-02-15 13:30:51,69.0
2024-02-15 13:30:52,70.0
2024-02-15 13:30:53,72.0
2024-02-15 13:30:54,73.0
2024-02-15 13:30:55,75.0
2024-02-15 13:30:56,76.0
2024-02-15 13:30:57,77.0
2024-02-15 13:30:58,79.0
2024-02-15 13:30:59,80.0
2024-02-15 13:31:00,81.0
2024-02-15 13:31:01,83.0
2024-02-15 13:31:02,84.0
