Datetime,Temperature
2024-02-14 19:16:28,41.0
2024-02-14 19:16:29,41.0
2024-02-14 19:16:30,41.0
2024-02-14 19:16:31,41.0
2024-02-14 19:16:32,41.0
2024-02-14 19:16:33,42.0
2024-02-14 19:16:34,42.0
2024-02-14 19:16:35,42.0
2024-02-14 19:16:36,42.0
2024-02-14 19:16:37,42.0
2024-02-14 19:16:38,42.0
2024-02-14 19:16:39,42.0
2024-02-14 19:16:40,42.0
2024-02-14 19:16:41,42.0
2024-02-14 19:16:42,42.0
2024-02-14 19:16:44,42.0
2024-02-14 19:16:45,42.0
2024-02-14 19:16:46,42.0
2024-02-14 19:16:47,42.0
2024-02-14 19:16:48,42.0
2024-02-14 19:16:49,42.0
2024-02-14 19:16:50,42.0
2024-02-14 19:16:51,42.0
2024-02-14 19:16:52,42.0
2024-02-14 19:16:53,42.0
2024-02-14 19:16:54,42.0
2024-02-14 19:16:55,42.0
2024-02-14 19:16:56,42.0
2024-02-14 19:16:57,42.0
2024-02-14 19:16:58,42.0
2024-02-14 19:16:58,41.0
2024-02-14 19:16:59,41.0
2024-02-14 19:17:00,41.0
2024-02-14 19:17:01,41.0
2024-02-14 19:17:02,41.0
2024-02-14 19:17:03,41.0
2024-02-14 19:17:04,41.0
2024-02-14 19:17:05,41.0
2024-02-14 19:17:06,41.0
2024-02-14 19:17:07,42.0
2024-02-14 19:17:08,42.0
2024-02-14 19:17:09,43.0
2024-02-14 19:17:11,43.0
2024-02-14 19:17:11,43.0
2024-02-14 19:17:13,44.0
2024-02-14 19:17:13,44.0
2024-02-14 19:17:15,45.0
2024-02-14 19:17:15,46.0
2024-02-14 19:17:16,47.0
2024-02-14 19:17:17,48.0
2024-02-14 19:17:19,48.0
2024-02-14 19:17:20,50.0
2024-02-14 19:17:20,51.0
2024-02-14 19:17:22,52.0
2024-02-14 19:17:22,53.0
2024-02-14 19:17:24,53.0
2024-02-14 19:17:24,54.0
2024-02-14 19:17:26,54.0
2024-02-14 19:17:27,54.0
2024-02-14 19:17:28,55.0
2024-02-14 19:17:28,55.0
2024-02-14 19:17:30,55.0
2024-02-14 19:17:30,55.0
2024-02-14 19:17:32,55.0
2024-02-14 19:17:33,56.0
2024-02-14 19:17:34,56.0
2024-02-14 19:17:35,56.0
2024-02-14 19:17:35,56.0
2024-02-14 19:17:37,56.0
2024-02-14 19:17:37,57.0
2024-02-14 19:17:39,57.0
2024-02-14 19:17:40,57.0
2024-02-14 19:17:41,57.0
2024-02-14 19:17:42,57.0
2024-02-14 19:17:43,58.0
2024-02-14 19:17:44,58.0
2024-02-14 19:17:45,58.0
2024-02-14 19:17:46,58.0
2024-02-14 19:17:47,58.0
2024-02-14 19:17:48,58.0
2024-02-14 19:17:49,58.0
2024-02-14 19:17:50,59.0
2024-02-14 19:17:51,59.0
2024-02-14 19:17:52,59.0
2024-02-14 19:17:53,59.0
2024-02-14 19:17:54,59.0
2024-02-14 19:17:55,59.0
2024-02-14 19:17:56,59.0
2024-02-14 19:17:57,59.0
2024-02-14 19:17:58,60.0
2024-02-14 19:17:59,60.0
2024-02-14 19:18:00,60.0
2024-02-14 19:18:01,60.0
2024-02-14 19:18:02,60.0
2024-02-14 19:18:03,60.0
2024-02-14 19:18:04,60.0
2024-02-14 19:18:05,60.0
2024-02-14 19:18:06,60.0
2024-02-14 19:18:07,60.0
2024-02-14 19:18:08,60.0
2024-02-14 19:18:09,60.0
2024-02-14 19:18:10,60.0
2024-02-14 19:18:11,61.0
2024-02-14 19:18:12,61.0
2024-02-14 19:18:13,61.0
2024-02-14 19:18:14,61.0
2024-02-14 19:18:15,61.0
2024-02-14 19:18:16,61.0
2024-02-14 19:18:17,61.0
2024-02-14 19:18:18,61.0
2024-02-14 19:18:19,61.0
2024-02-14 19:18:20,61.0
2024-02-14 19:18:21,61.0
2024-02-14 19:18:22,61.0
2024-02-14 19:18:23,61.0
2024-02-14 19:18:24,61.0
2024-02-14 19:18:25,61.0
2024-02-14 19:18:26,61.0
2024-02-14 19:18:27,61.0
2024-02-14 19:18:28,61.0
2024-02-14 19:18:29,61.0
2024-02-14 19:18:30,61.0
2024-02-14 19:18:31,61.0
2024-02-14 19:18:32,61.0
2024-02-14 19:18:33,61.0
2024-02-14 19:18:34,61.0
2024-02-14 19:18:35,61.0
2024-02-14 19:18:36,61.0
2024-02-14 19:18:37,61.0
2024-02-14 19:18:38,61.0
2024-02-14 19:18:39,61.0
2024-02-14 19:18:40,61.0
2024-02-14 19:18:41,61.0
2024-02-14 19:18:42,61.0
2024-02-14 19:18:43,61.0
2024-02-14 19:18:44,61.0
